Orthogroup	Arabidopsis_lyrata	Arabidopsis_thaliana	Brassica_oleracea	Brassica_rapa	Capsella_rubella	Capsicum_annuum	Carica_papaya	Cicer_arietinum	Citrus_sinensis	Cucumis_melo	Cucumis_sativus	Eutrema_salsugineum	Fragaria_vesca	Glycine_max	Gossypium_hirsutum	Helianthus_annuus	Jatropha_curcas	Malus_domestica	Manihot_esculenta	Medicago_truncatula	Nicotiana_attenuata	Papaver_somniferum	Phaseolus_vulgaris	Populus_euphratica	Populus_trichocarpa	Prunus_mume	Prunus_persica	Pyrus_x_bretschneideri	Solanum_lycopersicum	Solanum_pennellii	Solanum_tuberosum	Vitis_vinifera	Total
OG0012977	0	0	0	0	0	1	1	3	1	0	0	0	1	4	2	1	1	1	2	2	3	3	1	1	1	1	1	1	2	2	2	2	40
OG0012978	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	2	0	40
OG0012979	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	11	0	40
OG0012980	0	0	0	0	0	2	2	1	1	0	0	0	1	1	2	1	1	1	1	1	3	2	1	3	3	1	1	1	3	3	3	1	40
OG0012981	0	0	0	0	0	1	0	0	3	1	1	0	0	2	5	2	2	1	5	1	2	0	2	3	2	0	0	3	0	0	0	4	40
OG0012982	0	0	0	0	0	2	1	1	1	1	1	0	1	1	2	2	1	2	1	1	3	6	1	2	1	1	1	1	2	3	0	1	40
OG0012983	0	0	0	0	0	1	1	1	1	1	1	0	1	6	1	1	1	2	2	1	1	2	3	3	3	1	2	0	1	1	1	1	40
OG0012984	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	40
OG0012985	0	0	0	0	0	1	1	1	1	5	5	0	1	1	4	1	1	3	1	1	1	0	1	1	1	1	1	2	2	1	1	1	40
OG0012986	0	0	0	0	0	0	3	2	1	0	0	0	1	0	2	6	1	2	1	4	1	4	0	2	3	1	1	1	1	0	1	2	40
OG0012987	0	0	0	0	0	0	1	1	1	1	1	0	1	5	5	0	4	2	1	2	0	3	0	2	1	1	4	1	0	0	0	3	40
OG0012988	0	0	0	0	0	0	1	3	1	1	1	0	2	4	3	2	1	0	2	3	0	1	2	1	2	1	1	3	1	1	0	3	40
OG0012989	0	0	0	0	0	0	1	3	2	0	0	0	1	1	0	0	2	5	7	2	0	3	1	1	3	1	1	2	0	0	0	4	40
OG0012990	0	0	0	0	0	0	1	1	2	1	2	0	1	2	7	1	1	2	2	2	0	2	1	1	4	1	1	4	0	0	0	1	40
OG0012991	0	0	0	0	0	0	1	1	0	0	0	0	1	1	3	1	0	1	5	5	1	3	1	4	4	1	1	1	2	1	1	1	40
OG0012992	0	0	0	0	0	0	2	1	5	0	0	0	6	3	3	0	1	3	1	2	0	0	2	0	0	4	4	3	0	0	0	0	40
OG0012993	0	0	0	0	0	0	3	2	0	0	0	0	1	3	2	1	0	4	0	2	0	4	1	2	4	4	2	4	0	0	0	1	40
OG0012994	0	0	0	0	0	0	4	1	0	3	2	0	1	3	5	1	1	1	1	1	1	2	3	0	0	1	1	2	2	1	2	1	40
OG0012995	0	0	0	0	0	0	1	1	1	0	0	0	1	2	5	2	1	2	2	1	1	2	1	2	5	1	1	4	0	1	1	2	40
OG0012997	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	40
OG0012999	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40
OG0013000	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	1	0	11	10	1	5	5	0	0	0	0	40
OG0013009	2	3	1	1	1	1	1	0	1	2	2	1	1	0	3	1	0	0	1	0	1	2	0	0	1	3	2	1	2	2	2	1	39
OG0013010	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	39
OG0013011	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	4	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013012	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	39
OG0013013	2	2	2	1	2	1	1	1	1	1	1	1	1	2	4	1	0	2	0	1	1	0	3	0	0	1	1	2	1	1	1	1	39
OG0013014	1	2	1	1	1	1	1	1	1	1	1	1	1	2	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013015	1	1	1	5	2	2	0	1	0	1	1	0	2	2	2	1	0	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	39
OG0013016	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	3	1	1	1	1	39
OG0013017	1	1	1	1	1	2	1	1	1	0	0	1	1	1	3	1	1	2	1	1	2	1	1	1	2	1	1	1	2	2	2	1	39
OG0013018	1	1	1	1	1	1	1	1	1	0	0	1	1	2	4	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	1	2	39
OG0013019	1	1	1	2	1	0	1	4	2	1	1	1	0	4	2	3	1	0	0	2	1	2	4	0	1	0	0	0	0	0	0	3	39
OG0013020	2	2	4	5	2	0	1	1	0	0	0	2	0	2	5	0	2	2	0	1	0	1	1	2	1	0	0	2	0	0	0	1	39
OG0013021	1	1	3	16	1	0	1	0	0	0	0	1	1	2	2	0	0	2	0	2	0	0	1	1	1	1	1	1	0	0	0	0	39
OG0013022	1	1	2	2	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	39
OG0013023	1	1	2	2	1	1	2	1	1	1	1	1	1	2	3	1	0	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	39
OG0013024	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	3	0	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	39
OG0013025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013026	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	0	1	1	2	1	2	1	1	1	1	1	4	1	1	1	1	39
OG0013027	1	2	2	2	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013028	4	2	1	4	5	0	0	0	0	0	0	3	0	0	13	0	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	39
OG0013029	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	0	2	1	1	1	3	1	1	1	1	1	2	1	1	1	1	39
OG0013030	2	2	3	4	2	1	1	1	1	0	0	2	0	4	2	0	1	0	1	0	3	1	2	1	0	0	0	0	1	1	2	1	39
OG0013031	1	1	1	1	1	1	1	0	3	1	1	1	1	4	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013032	2	2	3	3	2	0	1	1	1	0	0	1	1	2	4	0	1	2	2	1	0	1	1	1	2	1	1	2	0	0	0	1	39
OG0013033	1	1	2	3	1	5	1	1	0	0	2	1	0	1	5	1	0	1	0	1	1	5	0	0	0	0	0	0	2	3	1	0	39
OG0013034	1	1	3	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	39
OG0013035	3	3	2	5	2	1	0	0	5	0	0	1	0	0	1	0	0	0	2	0	0	0	0	2	1	1	1	1	1	1	6	0	39
OG0013036	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	4	1	1	1	1	1	1	4	1	1	1	39
