GSM2039979,GSE76888,Capsella rubella,SRX1531634,,leaf,control,PE,
GSM1096439,GSE45037,Capsicum annuum,SRX248803,,leaf,control,PE,
GSM3893035,GSE132824,Capsicum annuum,SRX5488442,,leaf,control,PE,Mock 0h
GSM3893036,GSE132824,Capsicum annuum,SRX5488443,,leaf,control,PE,Mock 0h
GSM3893037,GSE132824,Capsicum annuum,SRX5488444,,leaf,control,PE,Mock 0h
GSM3893038,GSE132824,Capsicum annuum,SRX5488445,,leaf,control,PE,Mock 3h
GSM3893039,GSE132824,Capsicum annuum,SRX5488446,,leaf,control,PE,Mock 3h
GSM3893040,GSE132824,Capsicum annuum,SRX5488447,,leaf,control,PE,Mock 3h
GSM3893041,GSE132824,Capsicum annuum,SRX5488448,,leaf,control,PE,Mock 6h
GSM3893042,GSE132824,Capsicum annuum,SRX5488449,,leaf,control,PE,Mock 6h
GSM3893043,GSE132824,Capsicum annuum,SRX5488487,,leaf,control,PE,Mock 6h
GSM3893044,GSE132824,Capsicum annuum,SRX5488438,,leaf,control,PE,Mock 12h
GSM3893045,GSE132824,Capsicum annuum,SRX5488467,,leaf,control,PE,Mock 12h
GSM3893046,GSE132824,Capsicum annuum,SRX5488468,,leaf,control,PE,Mock 12h
GSM3893047,GSE132824,Capsicum annuum,SRX5488465,,leaf,control,PE,Mock 24h
GSM3893048,GSE132824,Capsicum annuum,SRX5488466,,leaf,control,PE,Mock 24h
GSM3893049,GSE132824,Capsicum annuum,SRX5488471,,leaf,control,PE,Mock 24h
GSM3893050,GSE132824,Capsicum annuum,SRX5488472,,leaf,control,PE,Mock 72h
GSM3893051,GSE132824,Capsicum annuum,SRX5488469,,leaf,control,PE,Mock 72h
GSM3893052,GSE132824,Capsicum annuum,SRX5488470,,leaf,control,PE,Mock 72h
GSM1096441,GSE45037,Capsicum annuum var. glabriusculum,SRX248805,,leaf,control,PE,
GSM3733617,GSE130188,Carica papaya,SRX5728489,,leaf,control,PE,
GSM3243257,GSE116581,Carica papaya,SRX2697676,,leaf,control,PE,
GSM3243258,GSE116581,Carica papaya,SRX3420307,,leaf,control,PE,
GSM2774020,GSE103561,Cicer arietinum,SRX3165238,,leaf,control,PE,
GSM2101576,GSE79720,Cicer arietinum Himchana,SRX1670135,,leaf,control,PE,
GSM2101577,GSE79720,Cicer arietinum Himchana,SRX1670136,,leaf,control,PE,
GSM2101578,GSE79720,Cicer arietinum Himchana,SRX1670137,,leaf,control,PE,
GSM2101552,GSE79719,Cicer arietinum JGK3,SRX1670111,,leaf,control,PE,
GSM2101553,GSE79719,Cicer arietinum JGK3,SRX1670112,,leaf,control,PE,
GSM2101554,GSE79719,Cicer arietinum JGK3,SRX1670113,,leaf,control,PE,
"GSM3140498	",GSE114369,Citrus sinensis,SRX4074771,,leaf,control,PE,pH 6
GSM3140499,GSE114369,Citrus sinensis,SRX4074772,,leaf,control,PE,pH 6
GSM3140500,GSE114369,Citrus sinensis,SRX4074773,,leaf,control,PE,pH 6
GSM1701085,GSE69432,Citrus sinensis,SRX1045029,,leaf,control,SE,170DAF
GSM1701086,GSE69432,Citrus sinensis,SRX1045030,,leaf,control,SE,190DAF
GSM1701087,GSE69432,Citrus sinensis,SRX1045031,,leaf,control,SE,210DAF
GSM2913983,GSE108837,Citrus sinensis,SRX3539446,,leaf,control,PE,NA
GSM2913984,GSE108837,Citrus sinensis,SRX3539447,,leaf,control,PE,NA
GSM2586396,GSE98054,Cucumis melo cantalupo,SRX2751699,,leaf,control,PE,
GSM2586397,GSE98054,Cucumis melo cantalupo,SRX2751700,,leaf,control,PE,
GSM3243243,GSE116581,Cucumis melo vedrantais,SRX2697691,,leaf,control,PE,
GSM3243244,GSE116581,Cucumis melo vedrantais,SRX2697690,,leaf,control,PE,
GSM3243205,GSE116581,Cucumis sativus,SRX2697708,,leaf,control,SE,NA
GSM3243206,GSE116581,Cucumis sativus,SRX3420359,,leaf,control,SE,NA
GSM3682577,GSE128687,Eutrema salsugineum,SRX5554454,,leaf,control,PE,
GSM1942124,GSE75071,Eutrema salsugineum yukon,SRX1436242,,leaf,control,PE,
GSM3243286,GSE116581,Fragaria vesca,SRX2697659,,leaf,control,SE,
GSM3243287,GSE116581,Fragaria vesca,SRX3420405,,leaf,control,SE,
GSM2651508,GSE99758,Glycine max,SRX2892154,,leaf,control,PE,NA
GSM2651509,GSE99758,Glycine max,SRX2892155,,leaf,control,PE,See exp for genotypes
GSM2651510,GSE99758,Glycine max,SRX2892156,,leaf,control,PE,See exp for genotypes
GSM2651511,GSE99758,Glycine max,SRX2892157,,leaf,control,PE,See exp for genotypes
GSM2651512,GSE99758,Glycine max,SRX2892158,,leaf,control,PE,See exp for genotypes
GSM2651513,GSE99758,Glycine max,SRX2892159,,leaf,control,PE,See exp for genotypes
GSM2651514,GSE99758,Glycine max,SRX2892160,,leaf,control,PE,See exp for genotypes
GSM2651515,GSE99758,Glycine max,SRX2892161,,leaf,control,PE,See exp for genotypes
GSM2651516,GSE99758,Glycine max,SRX2892162,,leaf,control,PE,See exp for genotypes
GSM2651517,GSE99758,Glycine max,SRX2892163,,leaf,control,PE,See exp for genotypes
GSM2651518,GSE99758,Glycine max,SRX2892164,,leaf,control,PE,See exp for genotypes
GSM2651519,GSE99758,Glycine max,SRX2892165,,leaf,control,PE,See exp for genotypes
GSM2651520,GSE99758,Glycine max,SRX2892166,,leaf,control,PE,See exp for genotypes
GSM2651521,GSE99758,Glycine max,SRX2892167,,leaf,control,PE,See exp for genotypes
